timestamp,T_entrada_C,T_saida_C,vazao_fluido_kg_h
2026-08-01 06:00:00,119.3114,84.3840,820.9309
2026-08-01 06:00:30,120.2282,85.2028,789.1390
2026-08-01 06:01:00,119.1865,84.7194,798.2460
2026-08-01 06:01:30,121.2908,85.2475,801.8490
2026-08-01 06:02:00,120.8045,85.3336,786.9909
2026-08-01 06:02:30,121.3063,85.1676,801.8183
2026-08-01 06:03:00,120.3817,85.4282,811.9616
2026-08-01 06:03:30,120.8701,84.8626,801.4953
2026-08-01 06:04:00,120.5511,84.7634,805.4077
2026-08-01 06:04:30,119.6155,85.0315,813.4948
2026-08-01 06:05:00,119.9447,85.1139,806.5599
2026-08-01 06:05:30,120.3560,84.9580,809.7386
2026-08-01 06:06:00,120.7331,85.8359,811.2569
2026-08-01 06:06:30,120.1668,84.4194,797.2794
2026-08-01 06:07:00,120.4604,85.2548,786.8882
2026-08-01 06:07:30,120.0299,84.5029,805.6398
2026-08-01 06:08:00,120.0031,85.1490,819.7095
2026-08-01 06:08:30,119.4866,85.6019,805.3382
2026-08-01 06:09:00,120.4567,84.2292,805.5306
2026-08-01 06:09:30,120.0023,85.2506,810.0754
2026-08-01 06:10:00,119.6190,85.3187,810.7864
2026-08-01 06:10:30,119.9780,85.1021,813.6560
2026-08-01 06:11:00,120.4302,84.9188,803.7759
2026-08-01 06:11:30,120.6346,85.1328,803.8917
2026-08-01 06:12:00,120.2214,85.3576,803.9673
2026-08-01 06:12:30,120.8607,84.4724,822.5527
2026-08-01 06:13:00,121.0847,85.1305,806.4323
2026-08-01 06:13:30,120.2092,85.2902,790.6454
2026-08-01 06:14:00,120.8525,85.4820,804.5143
2026-08-01 06:14:30,120.0449,86.0159,796.2832
2026-08-01 06:15:00,119.7414,85.5104,799.8452
2026-08-01 06:15:30,119.9322,85.2979,801.2483
2026-08-01 06:16:00,119.9852,85.1186,811.3553
2026-08-01 06:16:30,120.2116,84.9580,801.8709
2026-08-01 06:17:00,121.4346,85.2407,820.1086
2026-08-01 06:17:30,120.1946,85.1375,804.0732
2026-08-01 06:18:00,120.2811,85.1188,799.6745
2026-08-01 06:18:30,120.5590,85.4768,811.6992
2026-08-01 06:19:00,119.8348,85.9697,807.3747
2026-08-01 06:19:30,120.5810,85.7921,835.2718
2026-08-01 06:20:00,120.8493,85.6550,800.9122
2026-08-01 06:20:30,121.2751,85.8671,822.0285
2026-08-01 06:21:00,121.2036,85.2646,812.2382
2026-08-01 06:21:30,120.7411,85.1068,812.7483
2026-08-01 06:22:00,120.4607,85.7526,810.3018
2026-08-01 06:22:30,120.5025,85.2249,822.8063
2026-08-01 06:23:00,120.8019,85.0425,816.5220
2026-08-01 06:23:30,120.5876,85.9653,820.0996
2026-08-01 06:24:00,120.5784,84.9577,805.8043
2026-08-01 06:24:30,120.1693,85.3282,819.6163
2026-08-01 06:25:00,120.9847,85.6599,805.0852
2026-08-01 06:25:30,120.8110,85.6304,820.1176
2026-08-01 06:26:00,120.2967,85.2288,809.9291
2026-08-01 06:26:30,121.4321,85.5928,806.9023
2026-08-01 06:27:00,120.8046,85.0251,818.8849
2026-08-01 06:27:30,120.0010,85.7946,806.4474
2026-08-01 06:28:00,121.1982,85.4313,815.1041
2026-08-01 06:28:30,120.4021,85.8743,811.3145
2026-08-01 06:29:00,120.5462,85.7224,818.5583
2026-08-01 06:29:30,120.6703,86.2640,827.8567
2026-08-01 06:30:00,121.2081,85.5137,817.1115
2026-08-01 06:30:30,120.7602,85.8671,819.7970
2026-08-01 06:31:00,121.1109,85.9476,819.2461
2026-08-01 06:31:30,120.0275,85.7099,812.3279
2026-08-01 06:32:00,120.2752,85.3112,820.1872
2026-08-01 06:32:30,120.8555,85.1692,823.4151
2026-08-01 06:33:00,120.4895,85.1047,816.5264
2026-08-01 06:33:30,120.7624,86.2141,803.1124
2026-08-01 06:34:00,121.2501,85.3129,819.8925
2026-08-01 06:34:30,120.4880,85.4121,821.6195
2026-08-01 06:35:00,120.5344,85.7646,821.6363
2026-08-01 06:35:30,120.9695,85.8922,824.8672
2026-08-01 06:36:00,119.8639,85.7212,813.0775
2026-08-01 06:36:30,121.4433,85.7332,815.3071
2026-08-01 06:37:00,121.0170,85.9548,826.4040
2026-08-01 06:37:30,121.0108,86.0196,809.3997
2026-08-01 06:38:00,120.7070,85.5134,812.0694
2026-08-01 06:38:30,121.3336,85.3512,831.7875
2026-08-01 06:39:00,120.9207,85.9596,809.2435
2026-08-01 06:39:30,121.6268,85.7348,817.6157
2026-08-01 06:40:00,120.1706,85.8183,806.4227
2026-08-01 06:40:30,121.0700,85.3959,826.7347
2026-08-01 06:41:00,121.0718,86.1704,816.2198
2026-08-01 06:41:30,121.2185,85.7308,815.8378
2026-08-01 06:42:00,121.7769,86.0499,814.5562
2026-08-01 06:42:30,120.4054,85.9144,834.3835
2026-08-01 06:43:00,120.4022,85.1965,832.9650
2026-08-01 06:43:30,120.9351,85.6762,826.3638
2026-08-01 06:44:00,120.1776,85.6483,817.9144
2026-08-01 06:44:30,122.2892,85.5638,824.4581
2026-08-01 06:45:00,121.6148,85.1203,817.1847
2026-08-01 06:45:30,121.4188,86.3636,817.3555
2026-08-01 06:46:00,121.5636,86.0384,823.8675
2026-08-01 06:46:30,121.8197,85.7789,818.9994
2026-08-01 06:47:00,120.8889,85.4173,831.4252
2026-08-01 06:47:30,121.0277,85.3834,840.4003
2026-08-01 06:48:00,121.3913,85.7149,806.5076
2026-08-01 06:48:30,120.9800,85.8694,826.5975
2026-08-01 06:49:00,120.7803,85.0592,812.8135
2026-08-01 06:49:30,120.9912,86.2235,824.3312
2026-08-01 06:50:00,121.4587,85.9711,820.3560
2026-08-01 06:50:30,121.7354,85.5755,817.7416
2026-08-01 06:51:00,120.6561,86.1993,817.2613
2026-08-01 06:51:30,121.2085,86.1108,824.5749
2026-08-01 06:52:00,121.2881,86.4474,814.2635
2026-08-01 06:52:30,120.6315,85.6462,819.0528
2026-08-01 06:53:00,121.5630,85.9451,826.6030
2026-08-01 06:53:30,121.2968,86.2620,822.0276
2026-08-01 06:54:00,120.8927,86.2625,831.1391
2026-08-01 06:54:30,121.1325,86.3157,818.7714
2026-08-01 06:55:00,121.6529,85.5807,829.2099
2026-08-01 06:55:30,121.8858,86.8097,814.4233
2026-08-01 06:56:00,121.5782,85.7755,841.4613
2026-08-01 06:56:30,122.3730,85.2371,828.0655
2026-08-01 06:57:00,121.9892,85.7062,827.5525
2026-08-01 06:57:30,121.7186,85.7013,828.8502
2026-08-01 06:58:00,121.1031,85.5787,820.5590
2026-08-01 06:58:30,122.0314,86.9629,815.0659
2026-08-01 06:59:00,121.0930,85.5835,834.6423
2026-08-01 06:59:30,121.8620,85.9669,826.3503
2026-08-01 07:00:00,120.2780,85.6613,826.1776
2026-08-01 07:00:30,121.2644,86.2132,813.8022
2026-08-01 07:01:00,120.8238,85.7388,836.7295
2026-08-01 07:01:30,121.3908,85.3399,834.1040
2026-08-01 07:02:00,120.7755,85.8522,821.5642
2026-08-01 07:02:30,121.5706,86.3650,823.4960
2026-08-01 07:03:00,121.8010,86.1727,818.2080
2026-08-01 07:03:30,121.2536,86.2236,821.0851
2026-08-01 07:04:00,121.4297,85.4683,833.6156
2026-08-01 07:04:30,121.7106,86.2863,827.1744
2026-08-01 07:05:00,121.5884,86.1701,822.4048
2026-08-01 07:05:30,122.2969,86.2928,826.2636
2026-08-01 07:06:00,121.2912,86.1262,826.1274
2026-08-01 07:06:30,121.9135,86.0344,816.1932
2026-08-01 07:07:00,121.7859,86.1845,827.1298
2026-08-01 07:07:30,120.8723,85.4748,822.9410
2026-08-01 07:08:00,121.7212,86.4907,817.9420
2026-08-01 07:08:30,121.6450,86.4089,833.0493
2026-08-01 07:09:00,121.4530,86.2364,820.2212
2026-08-01 07:09:30,122.5972,86.2493,823.0432
2026-08-01 07:10:00,122.3632,86.3853,833.8101
2026-08-01 07:10:30,121.3501,86.3838,830.9311
2026-08-01 07:11:00,122.0598,85.7038,817.5533
2026-08-01 07:11:30,122.1247,86.9022,829.0628
2026-08-01 07:12:00,121.8363,86.4639,825.1033
2026-08-01 07:12:30,121.2249,86.7131,826.5543
2026-08-01 07:13:00,121.3083,86.2779,837.6148
2026-08-01 07:13:30,122.0589,86.2912,839.7891
2026-08-01 07:14:00,122.0589,86.1079,840.7482
2026-08-01 07:14:30,121.6732,86.4836,820.2726
2026-08-01 07:15:00,122.4842,85.9411,838.3433
2026-08-01 07:15:30,122.5834,86.1002,812.9464
2026-08-01 07:16:00,122.5878,86.8336,843.1982
2026-08-01 07:16:30,122.6002,85.8205,822.9238
2026-08-01 07:17:00,121.8596,86.3520,852.1244
2026-08-01 07:17:30,121.2103,85.8670,821.5343
2026-08-01 07:18:00,121.7268,85.7571,819.3106
2026-08-01 07:18:30,121.8407,86.1468,833.2467
2026-08-01 07:19:00,121.5934,86.5804,844.1928
2026-08-01 07:19:30,121.7279,85.4950,827.8195
2026-08-01 07:20:00,121.3506,86.6250,829.1992
2026-08-01 07:20:30,122.2956,86.8706,821.6229
2026-08-01 07:21:00,122.7625,85.6792,839.2688
2026-08-01 07:21:30,123.1493,86.6555,833.9099
2026-08-01 07:22:00,122.0923,86.6607,827.2592
